Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
google-analytics-data,84753,6.63,10,8,0,10,10,10,0,10,10,,4,10,,0,10
awswrangler,11988494,6.61,10,1,0,7,10,10,0,10,10,,5,10,0,9,10
allennlp,79199,6.61,10,8,0,9,10,10,0,10,10,10,5,0,,0,10
recommenders,58481,6.61,10,8,0,9,10,10,0,10,10,,5,10,0,0,10
google-crc32c,31010027,6.58,10,8,0,10,10,10,10,10,4,,2,10,,0,10
marshmallow,15792443,6.58,10,3,0,7,10,10,0,10,10,,10,0,,10,10
pylint,10415445,6.58,10,8,2,10,10,10,0,10,10,,2,10,,0,10
django-webpack-loader,276870,6.58,10,6,0,7,10,10,0,10,7,,10,0,,10,10
apache-bookkeeper-client,85395,6.58,10,10,0,10,10,10,0,10,10,,0,10,,0,10
rich,11275465,6.55,10,6,0,9,10,10,,10,10,,7,10,,0,10
idna-ssl,3062311,6.55,10,3,0,10,10,10,0,10,0,,10,10,,10,10
google-cloud-videointelligence,2275627,6.55,10,8,0,9,10,10,0,10,10,,4,10,,0,10
scmrepo,159051,6.55,10,6,0,9,10,10,0,10,10,10,7,0,,0,10
gradio,126783,6.55,10,3,0,10,10,10,0,10,10,10,0,10,,0,10
aws-xray-sdk,2919552,6.53,10,8,0,10,10,10,0,10,8,,5,10,,0,10
ray,1496989,6.53,8,1,0,10,10,10,0,10,10,,2,10,,9,10
google-cloud-automl,424312,6.53,10,8,0,10,10,10,,10,10,,2,10,,0,10
kornia,399869,6.53,10,8,0,8,10,10,0,10,10,10,5,0,0,0,10
django-oauth-toolkit,305520,6.53,10,8,0,10,10,0,0,10,10,10,7,10,,0,10
google-cloud-recaptcha-enterprise,262897,6.53,10,8,0,10,10,10,0,10,10,,2,10,,0,10
coverage,24665632,6.50,10,3,0,0,10,10,0,10,10,,9,10,,10,10
